Programacao 1, 4, 3, OBRIGATORIA, Convencional, 1, -
Analise e Tecnicas de Algoritmos, 4, 3, OBRIGATORIA, Convencional, 1, Estruturas de Dados e Algoritmos-Lab. Estruturas de Dados e Algoritmos-Logica Matematica-Calculo Dif. e Int. 2
Compiladores, 4, 3, OBRIGATORIA, Convencional, 1, Organizacao e Arquit. de Computadores-Lab. Organ. e Arquit. de Computadores-Paradigmas de Linguagens de Programacao
Redes de Computadores, 4, 3, OBRIGATORIA, Convencional, 1, Organizacao e Arquit. de Computadores-Lab. Organ. e Arquit. de Computadores
Banco de Dados 1, 4, 3, OBRIGATORIA, Convencional, 1, Sistemas de Informacao 1-
Sistemas de Informacao 2, 4, 3, OBRIGATORIA, Convencional, 1, Sistemas de Informacao 1-
Lab. de Engenharia de Software, 2, 2, OBRIGATORIA, Convencional, 1, Engenharia de Software 1-
Sistemas Operacionais, 4, 3, OBRIGATORIA, Convencional, 1, Organizacao e Arquit. de Computadores-Lab. Organ. e Arquit. de Computadores
Interconexao de Redes de Computadores, 2, 2, OBRIGATORIA, Convencional, 1, Redes de Computadores-
Lab. Interc. de Redes de Computadores, 2, 2, OBRIGATORIA, Convencional, 1, Redes de Computadores-
Banco de Dados 2, 4, 3, OBRIGATORIA, Convencional, 1, Banco de Dados 1-Sistemas de Informacao 2
Inteligencia Artificial 1, 4, 3, OBRIGATORIA, Convencional, 1, Analise e Tecnicas de Algoritmos-Paradigmas de Linguagens de Programacao-Metodos Estatisticos
Metodos e Software Numericos, 4, 3, OBRIGATORIA, Convencional, 1, Analise e Tecnicas de Algoritmos-Algebra Linear
Aval. de Desemp. de Sistemas Discretos, 4, 3, OBRIGATORIA, Convencional, 1, Probabilidade e Estatistica-
Projeto em Computacao 1, 4, 2, OBRIGATORIA, Convencional, 1, Metodologia Cientifica-Lab. de Engenharia de Software
Projeto em Computacao 2, 6, 2, OBRIGATORIA, Convencional, 1, Projeto em Computacao 1
Administracao, 4, 3, OPTATIVA, Convencional, 1, -
Sociologia Industrial, 3, 2, OPTATIVA, Convencional, 1, -
Economia, 4, 3, OPTATIVA, Convencional, 1, -
Futsal, 2, 2, OPTATIVA, Convencional, 1, -
Basquete, 2, 2, OPTATIVA, Convencional, 1, -
Calculo Dif. e Int. 3, 5, 4, OPTATIVA, ComEliminacao, 1, Calculo Dif. e Int. 1-Algebra Vet. e Geom. Analitica
Equacoes Diferenciais, 4, 3, OPTATIVA, Convencional, 1, Algebra Linear-
Ingles, 4, 4, OPTATIVA, ComEliminacao, 1, -
Expressao Grafica, 4, 3, OPTATIVA, Convencional, 1, -
Realidade Virtual, 4, 3, OPTATIVA, Convencional, 1, -
Empreendedorismo 1, 4, 3, OPTATIVA, Convencional, 1, -
